IDCliente,Genero,Jubilado,Casado,Dependientes,Permanencia_Meses,Telefonia,MutlipleLineas,Internet,SeguridadOnline,CopiaSeguridadLinea,SeguroDispositivo,Soporte,StreamingTV,StreamingMovies,TipoContrato,ReciboOnline,MetodoPago,MontoPlan,MontoTotal,Churn
5176-LDKUH,Mujer,No,No,No,48,Si,No,Fibra optica,No,Si,No,No,No,No,Un año,No,Cheque,75.15,3772.65,No
4644-OBGFZ,Hombre,No,Si,Si,55,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,19.5,1026.35,No
7926-IJOOU,Hombre,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Tarjeta de credito,19.3,19.3,No
6480-YAGIY,Hombre,No,No,No,45,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,No,Tarjeta de credito,112.2,5031.85,No
4029-HPFVY,Hombre,No,No,No,3,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Pago efectivo,70.3,220.4,No
7602-DBTOU,Mujer,No,Si,No,71,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,19.6,1416.5,No
5345-BMKWB,Hombre,No,Si,No,8,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,20.25,158.35,No
3519-ZKXGG,Mujer,No,Si,No,3,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,75.85,256.6,Si
5457-COLHT,Hombre,No,Si,Si,69,Si,No,DSL,Si,Si,No,Si,Si,Si,Dos años,No,Transferencia bancaria,80.65,5542.55,No
6416-TVAIH,Hombre,No,Si,Si,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,68.5,68.5,Si
5451-YHYPW,Mujer,Si,Si,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito,115.75,8443.7,No
5108-ADXWO,Hombre,No,No,No,11,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,Si,Cheque,73.5,791.75,Si
7998-WNZEM,Hombre,No,No,No,71,Si,Si,DSL,Si,Si,Si,Si,No,Si,Dos años,No,Transferencia bancaria,80.6,5708.2,No
3066-RRJIO,Mujer,No,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Pago efectivo,69.95,69.95,Si
4664-NJCMS,Mujer,No,Si,No,33,No,Sin servicio telefonia,DSL,Si,No,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,59.55,2016.3,No
0307-BCOPK,Mujer,No,No,No,16,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,19.05,326.65,No
7629-WFGLW,Mujer,Si,Si,No,56,Si,Si,Fibra optica,Si,Si,Si,Si,No,No,Un año,No,Cheque,95.65,5471.75,No
2542-HYGIQ,Mujer,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Tarjeta de credito,19.95,19.95,No
6715-OFDBP,Hombre,No,No,No,5,Si,No,DSL,No,No,Si,No,Si,Si,Mensual,Si,Cheque,70.05,346.4,Si
5016-LIPDW,Hombre,No,Si,Si,57,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,19.4,1061.6,No
6481-LXPWL,Hombre,No,Si,Si,56,No,Sin servicio telefonia,DSL,No,Si,Si,No,No,No,Un año,Si,Tarjeta de credito,36.1,1971.5,No
1567-DSCIC,Hombre,No,No,No,8,Si,Si,Fibra optica,No,Si,Si,No,Si,No,Mensual,Si,Cheque,94,773.65,Si
2150-UWTFY,Mujer,No,Si,Si,22,Si,No,DSL,Si,Si,Si,No,No,No,Mensual,No,Pago efectivo,61.15,1422.05,Si
6124-ACRHJ,Mujer,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,19.75,19.75,No
9362-MWODR,Mujer,No,No,Si,40,Si,No,DSL,Si,No,No,Si,Si,No,Mensual,Si,Tarjeta de credito,64.1,2460.35,No
9975-GPKZU,Hombre,No,Si,Si,46,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Tarjeta de credito,19.75,856.5,No
9625-RZFUK,Hombre,No,Si,Si,63,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,19.7,1275.85,No
5153-LXKDT,Hombre,No,Si,Si,68,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Dos años,Si,Cheque,110.2,7467.5,No
5161-UBZXI,Hombre,No,Si,Si,69,Si,No,Fibra optica,Si,Si,No,Si,Si,Si,Dos años,Si,Tarjeta de credito,106.35,7261.75,No
1020-JPQOW,Mujer,No,Si,No,56,Si,Si,Fibra optica,No,Si,Si,Si,No,No,Mensual,No,Cheque,90.55,5116.6,No
7919-ZODZZ,Mujer,No,Si,Si,10,Si,No,DSL,No,Si,Si,No,No,Si,Un año,Si,Pago efectivo,65.9,660.05,No
0565-JUPYD,Hombre,No,No,No,63,Si,Si,Fibra optica,Si,Si,Si,Si,Si,No,Un año,No,Tarjeta de credito,104.5,6590.8,No
6867-ACCZI,Mujer,No,Si,Si,24,No,Sin servicio telefonia,DSL,Si,Si,Si,Si,No,Si,Dos años,Si,Pago efectivo,52.5,1208.15,No
5939-XAIXZ,Mujer,No,No,No,19,Si,Si,DSL,No,No,Si,No,No,No,Mensual,Si,Pago efectivo,56.1,1033.9,No
9054-FOWNV,Hombre,No,Si,Si,22,Si,Si,Fibra optica,No,No,Si,No,Si,No,Mensual,Si,Cheque,88.75,1885.15,No
2683-BPJSO,Hombre,No,Si,No,29,Si,Si,Fibra optica,Si,Si,No,No,No,No,Mensual,Si,Cheque,84.45,2467.1,Si
2157-MXBJS,Hombre,No,Si,No,13,Si,Si,DSL,No,No,Si,No,Si,Si,Un año,Si,Pago efectivo,75.3,989.45,Si
8207-VVMYB,Mujer,No,Si,No,70,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria,26,2006.95,No
9732-EQMWY,Mujer,No,Si,No,49,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mensual,No,Cheque,99.4,5025,No
9360-AHGNL,Mujer,Si,Si,No,43,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Un año,Si,Pago efectivo,109.55,4830.25,Si
1087-UDSIH,Mujer,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Pago efectivo,19.6,59.75,Si
5269-NRGDP,Hombre,No,Si,Si,42,Si,No,DSL,No,No,Si,Si,Si,Si,Un año,No,Cheque,73.15,3088.25,No
6195-MELTI,Hombre,No,No,No,57,Si,No,DSL,No,Si,No,Si,No,No,Un año,Si,Pago efectivo,54.65,3134.7,No
5485-WUYWF,Hombre,Si,No,No,2,Si,No,DSL,Si,No,Si,No,Si,No,Mensual,No,Transferencia bancaria,66.4,94.55,Si
2121-JAFOM,Mujer,No,Si,No,72,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,Si,Tarjeta de credito,115.55,8312.4,No
8818-DOPVL,Mujer,Si,No,No,46,Si,Si,Fibra optica,No,Si,Si,No,Si,Si,Mensual,Si,Cheque,104.45,4863.85,No
2632-UCGVD,Hombre,Si,Si,No,66,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mensual,Si,Tarjeta de credito,100.05,6871.9,Si
5445-PZWGX,Hombre,No,No,No,62,Si,Si,Fibra optica,Si,Si,No,Si,No,Si,Un año,No,Cheque,102,6529.25,Si
1227-UDMZR,Mujer,No,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,91.15,6637.9,No
5198-HQAEN,Hombre,No,Si,Si,35,Si,No,Fibra optica,No,Si,No,Si,Si,No,Un año,Si,Cheque,89.7,3165.6,No
9170-CCKOU,Hombre,No,Si,No,17,Si,Si,Fibra optica,Si,Si,Si,No,No,No,Mensual,No,Tarjeta de credito,90.2,1454.15,Si
2167-FQSTQ,Mujer,No,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Cheque,92.4,6786.1,No
2819-GWENI,Mujer,No,Si,Si,28,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,19.9,543,No
1043-YCUTE,Hombre,No,Si,No,56,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Tarjeta de credito,25.15,1327.15,Si
3814-MLAXC,Mujer,No,No,No,31,Si,Si,Fibra optica,No,No,No,Si,No,No,Mensual,Si,Tarjeta de credito,79.85,2404.15,Si
3572-UUHRS,Hombre,No,No,No,45,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria,18.85,867.3,No
2692-PFYTJ,Mujer,No,No,No,1,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Pago efectivo,25.75,25.75,No
1226-UDFZR,Mujer,No,No,No,2,Si,No,DSL,No,Si,No,No,No,No,Mensual,Si,Pago efectivo,49.6,114.7,Si
5955-EPOAZ,Mujer,No,No,No,6,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Pago efectivo,20.95,109.5,No
6821-JPCDC,Mujer,No,Si,No,48,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Un año,Si,Cheque,97.05,4692.95,No
8815-LMFLX,Hombre,No,Si,Si,25,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Transferencia bancaria,25.4,546.85,No
9135-HSWOC,Hombre,No,Si,Si,64,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria,19.7,1274.05,No
8582-KRHPJ,Hombre,No,No,No,50,No,Sin servicio telefonia,DSL,Si,Si,No,No,No,No,Mensual,Si,Pago efectivo,35,1782.4,No
5811-IWXYM,Mujer,No,Si,Si,52,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Un año,No,Transferencia bancaria,101.25,5301.1,No
7044-YAACC,Hombre,Si,Si,No,4,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,70.2,280.35,No
8189-XRIKE,Mujer,Si,No,No,32,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,No,Cheque,90.95,2897.95,No
1506-YJTYT,Hombre,No,Si,Si,45,Si,Si,DSL,Si,Si,No,Si,Si,No,Dos años,No,Tarjeta de credito,73.85,3371,No
4123-DVHPH,Hombre,No,Si,No,9,Si,Si,Fibra optica,Si,No,No,No,No,Si,Mensual,Si,Cheque,88.05,801.3,No
6425-YQLLO,Mujer,Si,Si,No,66,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Un año,Si,Tarjeta de credito,105.95,6975.25,Si
5442-UTCVD,Hombre,No,No,Si,3,Si,Si,Fibra optica,No,No,Si,No,No,Si,Mensual,No,Cheque,91.85,257.05,Si
2228-BZDEE,Mujer,No,No,No,54,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,20.1,1079.45,No
7734-DBOAI,Mujer,No,Si,Si,1,No,Sin servicio telefonia,DSL,No,No,No,Si,Si,No,Mensual,No,Cheque,40.1,40.1,Si
2789-CZANW,Mujer,No,Si,Si,64,Si,Si,Fibra optica,Si,Si,No,Si,Si,Si,Dos años,No,Transferencia bancaria,110.3,6997.3,No
2091-RFFBA,Mujer,Si,No,No,31,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,73.9,2217.15,Si
2114-MGINA,Mujer,No,No,No,14,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Pago efectivo,89.8,1129.1,Si
7596-LDUXP,Mujer,No,No,No,12,Si,No,Fibra optica,Si,No,No,No,Si,No,Un año,Si,Tarjeta de credito,85.15,979.05,No
3740-RLMVT,Hombre,Si,Si,No,67,Si,No,DSL,Si,Si,No,Si,No,No,Un año,Si,Transferencia bancaria,60.95,4119.4,No
4489-SNOJF,Mujer,No,Si,Si,35,Si,Si,DSL,Si,No,Si,Si,Si,No,Mensual,No,Cheque,72.25,2568.55,Si
2192-OZITF,Mujer,No,No,No,45,Si,Si,DSL,Si,No,No,Si,No,Si,Dos años,No,Pago efectivo,73.55,3349.1,No
5651-CPDND,Hombre,No,No,No,10,Si,No,DSL,No,No,No,No,No,No,Mensual,No,Pago efectivo,46,492.1,No
2186-QZEYA,Mujer,Si,No,No,29,Si,Si,DSL,Si,Si,No,No,No,No,Mensual,Si,Transferencia bancaria,58.55,1718.95,No
1131-ALZWV,Mujer,No,No,No,24,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria,24.6,605.25,No
7729-XBTWX,Hombre,No,Si,Si,66,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Pago efectivo,19.75,1344.5,No
9134-WYRVP,Hombre,No,No,No,51,Si,No,Fibra optica,Si,No,No,No,Si,No,Un año,No,Pago efectivo,86.35,4267.15,No
3284-SVCRO,Mujer,No,Si,No,45,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Pago efectivo,25.5,1121.05,No
9732-OUYRN,Mujer,No,Si,No,49,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de credito,19,918.7,No
0559-CKHUS,Mujer,No,Si,No,29,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Pago efectivo,19.55,521.8,No
2931-SVLTV,Hombre,No,Si,Si,40,Si,Si,Fibra optica,Si,Si,No,Si,Si,Si,Mensual,Si,Tarjeta de credito,110.1,4469.1,No
6899-PPEEA,Mujer,Si,No,No,37,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque,96.55,3580.3,Si
7504-UWHNB,Hombre,No,No,No,25,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,No,Cheque,69.75,1729.35,No
2582-FFFZR,Mujer,No,No,No,22,No,Sin servicio telefonia,DSL,No,No,Si,No,Si,Si,Mensual,Si,Cheque,50.6,1073.3,No
8908-NMQTX,Hombre,No,No,No,72,No,Sin servicio telefonia,DSL,Si,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,65.6,4566.5,No
2187-LZGPL,Mujer,No,No,No,7,No,Sin servicio telefonia,DSL,No,Si,No,No,No,Si,Mensual,Si,Tarjeta de credito,40.1,293.3,Si
1431-AIDJQ,Hombre,No,Si,Si,33,Si,No,DSL,No,Si,Si,Si,Si,Si,Dos años,No,Tarjeta de credito,82.1,2603.1,No
6288-LBEAR,Mujer,No,No,No,23,Si,No,Fibra optica,No,Si,No,Si,No,No,Mensual,Si,Pago efectivo,79.1,1783.75,No
4597-NUCQV,Hombre,Si,No,No,24,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Cheque,101.25,2440.15,Si
9019-QVLZD,Mujer,No,No,No,1,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,No,Cheque,79.55,79.55,Si
8413-YNHNV,Hombre,No,No,No,69,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Pago efectivo,90.65,6322.1,No
5808-TOTXO,Mujer,No,No,Si,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Tarjeta de credito,20.55,57.4,No
4369-NYSCF,Hombre,No,No,No,56,Si,No,DSL,No,Si,No,Si,Si,Si,Un año,Si,Transferencia bancaria,75.75,4284.65,No
6333-YDVLT,Hombre,No,No,No,65,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Un año,Si,Tarjeta de credito,110,7138.65,No
5324-KTGCG,Hombre,No,Si,No,71,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Cheque,20.85,1539.75,No
5599-HVLTW,Mujer,Si,No,No,14,Si,Si,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Transferencia bancaria,80.35,1058.1,No
7394-LWLYN,Mujer,No,No,No,2,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,70.15,123.8,No
3707-LRWZD,Mujer,No,No,No,32,Si,Si,Fibra optica,No,No,No,No,Si,No,Un año,No,Cheque,84.05,2781.85,Si
6873-UDNLD,Hombre,No,No,No,40,Si,No,DSL,Si,No,Si,No,No,Si,Mensual,No,Cheque,67.45,2731,No
2700-LUEVA,Hombre,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Tarjeta de credito,20.75,20.75,No
1455-ESIQH,Hombre,No,No,No,1,Si,No,Fibra optica,No,No,No,No,Si,Si,Mensual,Si,Cheque,89.1,89.1,Si
0958-YHXGP,Mujer,No,No,No,7,Si,No,Fibra optica,No,No,No,No,No,No,Mensual,Si,Pago efectivo,69.9,497.3,No
1101-SSWAG,Mujer,No,Si,No,15,Si,Si,DSL,No,No,No,No,No,No,Mensual,Si,Cheque,51.1,711.15,No
2979-SXESE,Mujer,No,Si,Si,17,Si,Si,Fibra optica,Si,No,Si,No,Si,No,Mensual,No,Cheque,94.4,1607.2,Si
4013-TLDHQ,Hombre,No,No,No,19,Si,No,Fibra optica,No,Si,Si,No,No,No,Mensual,Si,Cheque,78.25,1490.95,Si
5743-KHMNA,Hombre,No,No,No,71,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,No,Transferencia bancaria,25.55,1898.1,No
4194-FJARJ,Mujer,No,Si,Si,54,Si,Si,DSL,Si,No,No,Si,No,No,Dos años,No,Transferencia bancaria,60,3273.95,No
5325-UWTWJ,Hombre,No,Si,No,31,Si,Si,Fibra optica,Si,Si,No,Si,No,No,Mensual,Si,Tarjeta de credito,90.55,2929.75,No
3969-GYXEL,Mujer,No,No,No,11,Si,No,Fibra optica,Si,No,No,No,No,No,Mensual,No,Cheque,76.4,838.7,No
9208-OLGAQ,Mujer,Si,No,No,18,Si,No,Fibra optica,No,No,Si,No,No,Si,Mensual,Si,Cheque,84.95,1443.65,No
3244-CQPHU,Mujer,Si,No,No,72,Si,Si,Fibra optica,Si,Si,No,Si,Si,Si,Dos años,Si,Transferencia bancaria,110.1,7746.7,No
2674-MLXMN,Mujer,Si,No,No,71,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Tarjeta de credito,99.65,6951.15,No
9708-HPXWZ,Hombre,Si,No,No,5,No,Sin servicio telefonia,DSL,No,No,Si,Si,Si,No,Mensual,No,Tarjeta de credito,45.4,214.75,No
6992-TKNYO,Hombre,No,Si,No,38,Si,Si,DSL,No,No,Si,Si,No,Si,Un año,No,Tarjeta de credito,69,2669.45,No
4468-YDOVK,Hombre,No,No,Si,5,Si,No,DSL,No,No,No,Si,No,No,Mensual,Si,Transferencia bancaria,48.65,235.2,No
3754-DXMRT,Hombre,Si,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Cheque,44.15,92.65,Si
5792-JALQC,Mujer,Si,No,No,52,Si,Si,DSL,Si,No,Si,No,No,No,Dos años,No,Transferencia bancaria,59.85,3103.25,No
7130-VTEWQ,Mujer,Si,No,No,8,Si,Si,Fibra optica,No,No,No,No,No,No,Mensual,Si,Cheque,75.75,606.25,Si
2200-DSAAL,Mujer,No,No,No,68,Si,Si,DSL,No,Si,Si,No,Si,Si,Dos años,Si,Cheque,80.65,5330.2,No
4302-ZYFEL,Hombre,No,Si,Si,69,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Tarjeta de credito,20.55,1403.1,No
9351-LZYGF,Mujer,No,Si,No,42,Si,Si,DSL,Si,Si,No,Si,No,No,Mensual,Si,Tarjeta de credito,66.4,2727.8,No
4366-CTOUZ,Mujer,No,No,No,50,Si,No,Fibra optica,No,Si,No,Si,Si,Si,Dos años,Si,Pago efectivo,100.2,5038.45,No
6121-VZNQB,Mujer,No,No,No,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Pago efectivo,19.1,19.1,Si
7903-CMPEY,Hombre,Si,Si,No,1,Si,Si,Fibra optica,Si,No,No,No,No,No,Mensual,Si,Cheque,80.3,80.3,Si
1518-OMDIK,Hombre,No,Si,No,33,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,Tarjeta de credito,44.55,1462.6,No
6671-NGWON,Mujer,No,No,No,7,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,20.35,150.6,No
0595-ITUDF,Hombre,No,Si,Si,64,Si,Si,Fibra optica,Si,Si,Si,No,No,No,Mensual,Si,Cheque,91.8,5960.5,No
6996-KNSML,Mujer,No,No,No,1,Si,No,Fibra optica,No,No,Si,No,No,No,Mensual,Si,Cheque,74.9,74.9,Si
1955-IBMMB,Hombre,No,No,No,59,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria,20.2,1192.3,No
0096-BXERS,Mujer,No,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,Mensual,No,Cheque,50.35,314.55,No
3806-YAZOV,Mujer,No,No,No,3,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Pago efectivo,18.8,56,No
7998-ZLXWN,Mujer,No,Si,No,15,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,No,Tarjeta de credito,20.45,330.8,No
6253-WRFHY,Hombre,No,Si,Si,13,Si,No,DSL,No,No,No,No,Si,Si,Un año,Si,Cheque,64.75,877.35,No
9133-AYJZG,Mujer,No,No,No,23,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mensual,Si,Tarjeta de credito,98.7,2249.1,No
2675-OTVVJ,Hombre,Si,Si,No,31,Si,Si,Fibra optica,Si,No,No,No,Si,No,Mensual,No,Cheque,89.45,2807.65,No
8680-CGLTP,Hombre,No,No,No,29,Si,No,DSL,Si,Si,No,Si,No,No,Un año,Si,Cheque,58.75,1696.2,No
8430-TWCBX,Mujer,No,Si,No,49,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Tarjeta de credito,20.7,1032.05,No
5018-GWURO,Mujer,No,Si,No,56,Si,Si,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Transferencia bancaria,85.6,4902.8,No
6741-QRLUP,Mujer,No,No,No,63,Si,Si,DSL,Si,Si,Si,Si,No,Si,Dos años,Si,Tarjeta de credito,80.3,4995.35,No
4737-HOBAX,Hombre,No,Si,No,63,Si,Si,DSL,No,No,Si,Si,Si,Si,Dos años,No,Tarjeta de credito,79.8,5034.05,No
0537-QYZZN,Hombre,Si,Si,Si,24,Si,Si,Fibra optica,Si,No,No,No,No,No,Mensual,Si,Cheque,79.85,1857.75,No
3340-QBBFM,Hombre,Si,Si,No,36,Si,No,DSL,No,No,Si,Si,No,No,Un año,No,Tarjeta de credito,54.1,1992.85,No
1704-NRWYE,Mujer,Si,No,No,9,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Cheque,80.85,751.65,Si
2592-SEIFQ,Hombre,No,No,No,3,No,Sin servicio telefonia,DSL,No,No,No,No,No,No,Mensual,No,Cheque,24.75,66.95,Si
8200-KLNYW,Mujer,No,Si,No,21,Si,No,DSL,Si,No,Si,Si,Si,Si,Un año,No,Pago efectivo,80.9,1714.95,No
3372-CDXFJ,Hombre,No,Si,Si,13,Si,Si,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Transferencia bancaria,24.5,343.6,No
4781-ZXYGU,Hombre,No,Si,Si,1,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Mensual,Si,Transferencia bancaria,20.15,20.15,No
7632-YUTXB,Mujer,No,Si,Si,25,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,No,Pago efectivo,20.05,520.1,No
2718-YSKCS,Hombre,No,Si,Si,71,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Dos años,Si,Transferencia bancaria,19.6,1387.45,No
9896-UYMIE,Hombre,No,No,No,66,Si,Si,Fibra optica,Si,Si,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,114.3,7383.7,No
0853-NWIFK,Mujer,No,No,No,45,Si,No,Fibra optica,Si,Si,No,No,Si,Si,Un año,Si,Cheque,100.3,4483.95,No
8212-CRQXP,Mujer,No,Si,No,22,Si,No,Fibra optica,No,No,No,No,Si,No,Mensual,Si,Tarjeta de credito,80,1706.45,No
6980-CDGFC,Mujer,No,Si,No,67,Si,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Un año,Si,Transferencia bancaria,20.85,1327.4,No
7691-XVTZH,Mujer,No,Si,No,68,Si,Si,Fibra optica,No,No,Si,No,Si,No,Dos años,Si,Transferencia bancaria,89.95,5974.3,No
